example_id,candidate_example_id,original_id,type,relations,candidate_role,quality_status,quality_issue_codes
1,1,a7b9672009c311ebbdb0ac1f6bf848b6,comparison,country,primary,pass,
2,2,2935f1640bda11eba7f7acde48001122,compositional,director|place of death,primary,pass,
3,3,dfe93efe0bdd11eba7f7acde48001122,compositional,date of death|spouse,primary,pass,
4,4,0bedb7e80bdc11eba7f7acde48001122,compositional,cause of death|spouse,primary,pass,
5,5,0f1ac1a00bdb11eba7f7acde48001122,compositional,award received|performer,primary,pass,
6,6,6638a0f0084e11ebbd56ac1f6bf848b6,comparison,country,primary,pass,
7,7,29427eea0bdd11eba7f7acde48001122,compositional,performer|place of birth,primary,pass,
8,8,ea1fc06c0bda11eba7f7acde48001122,compositional,employer|spouse,primary,pass,
9,9,0323cdea090d11ebbdadac1f6bf848b6,comparison,publication date,primary,pass,
10,11,2294ccfc0bdc11eba7f7acde48001122,compositional,date of birth|has part,primary,pass,
11,12,0458640a0bdd11eba7f7acde48001122,compositional,cause of death|father,primary,pass,
12,13,4f49c369098d11ebbdb0ac1f6bf848b6,comparison,country,primary,pass,
13,14,982f8e440bdb11eba7f7acde48001122,compositional,inception|publisher,primary,pass,
14,15,74207b920bdd11eba7f7acde48001122,compositional,director|place of death,primary,pass,
15,16,2fd031c00bde11eba7f7acde48001122,compositional,director|educated at,primary,pass,
16,18,5e60d12e0bda11eba7f7acde48001122,compositional,mother|place of birth,primary,review,evidence_term_not_in_support
17,19,7de481100baf11ebab90acde48001122,inference,father|mother,primary,pass,
18,21,e5bdd71f08d011ebbd95ac1f6bf848b6,comparison,date of birth|date of death,primary,pass,
19,22,ddacf7580baf11ebab90acde48001122,inference,father|spouse,primary,pass,
20,24,880e5d0c088d11ebbd70ac1f6bf848b6,bridge_comparison,country of citizenship|director,primary,pass,
21,25,69e2bbe0094411ebbdaeac1f6bf848b6,comparison,publication date,primary,pass,
22,26,3068a40c0baf11ebab90acde48001122,inference,father|mother,primary,pass,
23,29,6e3e70200bde11eba7f7acde48001122,compositional,country of citizenship|mother,primary,pass,
24,30,1900f7600baf11ebab90acde48001122,inference,mother|spouse,primary,pass,
25,31,3c44771e08b211ebbd85ac1f6bf848b6,comparison,publication date,primary,pass,
26,33,769106c40bda11eba7f7acde48001122,compositional,cause of death|performer,primary,pass,
27,34,4a9acefe0baf11ebab90acde48001122,inference,father|sibling,primary,pass,
28,37,6b3de52e0bdc11eba7f7acde48001122,compositional,father|place of death,primary,pass,
